what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1344352475510
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1344352475511
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1344352475512
started,bundle,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.adt",1344352475512
started,bundle,com.android.ide.eclipse.base,20.0.2.v201207191942-407447,"com.android.ide.eclipse.base",1344352475512
os,sysinfo,,,"win32",1344352475515
arch,sysinfo,,,"x86_64",1344352475515
ws,sysinfo,,,"win32",1344352475515
locale,sysinfo,,,"en_US",1344352475515
processors,sysinfo,,,"4",1344352475515
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1344352475515
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1344352475515
java.specification.name,sysinfo,,,"Java Platform API Specification",1344352475515
java.specification.vendor,sysinfo,,,"Oracle Corporation",1344352475515
java.specification.version,sysinfo,,,"1.7",1344352475515
java.vendor,sysinfo,,,"Oracle Corporation",1344352475515
java.version,sysinfo,,,"1.7.0_04",1344352475515
java.vm.info,sysinfo,,,"mixed mode",1344352475515
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1344352475515
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1344352475515
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1344352475515
java.vm.specification.version,sysinfo,,,"1.7",1344352475515
java.vm.vendor,sysinfo,,,"Oracle Corporation",1344352475515
java.vm.version,sysinfo,,,"23.0-b21",1344352475515
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1344352475575
